id,fen,engine,bestmove,eval,wins,draws,losses,depth,seldepth,nodes,time,hashfull
468,rbbnnkrq/pppppppp/8/8/8/8/PPPPPPPP/RBBNNKRQ w KQkq - 0 1,Stockfish 17.1,g3,0.25,65,923,12,11,18,100972,0.016,6
469,rnbbnkrq/pppppppp/8/8/8/8/PPPPPPPP/RNBBNKRQ w KQkq - 0 1,Stockfish 17.1,g4,0.3,77,913,10,10,17,100386,0.019,5
470,rnbnkbrq/pppppppp/8/8/8/8/PPPPPPPP/RNBNKBRQ w KQkq - 0 1,Stockfish 17.1,g4,0.42,113,881,6,10,19,100680,0.019,5
471,rnbnkrqb/pppppppp/8/8/8/8/PPPPPPPP/RNBNKRQB w KQkq - 0 1,Stockfish 17.1,g4,0.57,177,819,4,10,21,100420,0.018,5
472,rbnnbkrq/pppppppp/8/8/8/8/PPPPPPPP/RBNNBKRQ w KQkq - 0 1,Stockfish 17.1,g4,0.35,91,901,8,10,16,101606,0.019,5
473,rnnbbkrq/pppppppp/8/8/8/8/PPPPPPPP/RNNBBKRQ w KQkq - 0 1,Stockfish 17.1,g4,0.53,156,840,4,11,15,100310,0.019,5
474,rnnkbbrq/pppppppp/8/8/8/8/PPPPPPPP/RNNKBBRQ w KQkq - 0 1,Stockfish 17.1,g4,0.45,123,871,6,11,22,101478,0.019,5
475,rnnkbrqb/pppppppp/8/8/8/8/PPPPPPPP/RNNKBRQB w KQkq - 0 1,Stockfish 17.1,g4,0.2,54,932,14,10,20,100484,0.017,5
476,rbnnkrbq/pppppppp/8/8/8/8/PPPPPPPP/RBNNKRBQ w KQkq - 0 1,Stockfish 17.1,f4,0.36,94,898,8,11,16,100500,0.017,3
477,rnnbkrbq/pppppppp/8/8/8/8/PPPPPPPP/RNNBKRBQ w KQkq - 0 1,Stockfish 17.1,Nc3,0.31,80,911,9,11,15,100594,0.019,4
478,rnnkrbbq/pppppppp/8/8/8/8/PPPPPPPP/RNNKRBBQ w KQkq - 0 1,Stockfish 17.1,Nc3,0.24,64,924,12,11,21,100926,0.018,5
479,rnnkrqbb/pppppppp/8/8/8/8/PPPPPPPP/RNNKRQBB w KQkq - 0 1,Stockfish 17.1,g3,0.58,186,810,4,12,19,100788,0.015,4
480,bbqrnknr/pppppppp/8/8/8/8/PPPPPPPP/BBQRNKNR w KQkq - 0 1,Stockfish 17.1,c4,0.32,83,908,9,11,21,100308,0.019,4
481,bqrbnknr/pppppppp/8/8/8/8/PPPPPPPP/BQRBNKNR w KQkq - 0 1,Stockfish 17.1,b4,0.24,64,924,12,12,19,100974,0.018,6
482,bqrnkbnr/pppppppp/8/8/8/8/PPPPPPPP/BQRNKBNR w KQkq - 0 1,Stockfish 17.1,b4,0.18,52,933,15,11,17,100269,0.019,3
483,bqrnknrb/pppppppp/8/8/8/8/PPPPPPPP/BQRNKNRB w KQkq - 0 1,Stockfish 17.1,b4,0.17,49,935,16,12,20,100484,0.018,6
484,qbbrnknr/pppppppp/8/8/8/8/PPPPPPPP/QBBRNKNR w KQkq - 0 1,Stockfish 17.1,c4,0.3,78,912,10,12,20,100359,0.016,8
485,qrbbnknr/pppppppp/8/8/8/8/PPPPPPPP/QRBBNKNR w KQkq - 0 1,Stockfish 17.1,e4,0.2,55,931,14,11,17,100571,0.019,6
486,qrbnkbnr/pppppppp/8/8/8/8/PPPPPPPP/QRBNKBNR w KQkq - 0 1,Stockfish 17.1,a4,0.29,74,916,10,11,18,100455,0.019,6
487,qrbnknrb/pppppppp/8/8/8/8/PPPPPPPP/QRBNKNRB w KQkq - 0 1,Stockfish 17.1,g3,0.31,80,911,9,11,19,100269,0.019,5
488,qbrnbknr/pppppppp/8/8/8/8/PPPPPPPP/QBRNBKNR w KQkq - 0 1,Stockfish 17.1,d4,0.18,51,934,15,12,21,100688,0.021,3
489,qrnbbknr/pppppppp/8/8/8/8/PPPPPPPP/QRNBBKNR w KQkq - 0 1,Stockfish 17.1,e4,0.33,85,906,9,10,15,100183,0.022,7
490,qrnkbbnr/pppppppp/8/8/8/8/PPPPPPPP/QRNKBBNR w KQkq - 0 1,Stockfish 17.1,e4,0.39,101,892,7,11,14,100711,0.021,6
491,qrnkbnrb/pppppppp/8/8/8/8/PPPPPPPP/QRNKBNRB w KQkq - 0 1,Stockfish 17.1,d3,0.32,83,908,9,10,19,100210,0.019,6
492,qbrnknbr/pppppppp/8/8/8/8/PPPPPPPP/QBRNKNBR w KQkq - 0 1,Stockfish 17.1,f3,0.2,56,930,14,10,18,100165,0.017,6
493,qrnbknbr/pppppppp/8/8/8/8/PPPPPPPP/QRNBKNBR w KQkq - 0 1,Stockfish 17.1,e4,0.18,52,933,15,11,21,100312,0.015,7
494,qrnknbbr/pppppppp/8/8/8/8/PPPPPPPP/QRNKNBBR w KQkq - 0 1,Stockfish 17.1,f3,0.43,116,878,6,11,22,100699,0.015,5
495,qrnknrbb/pppppppp/8/8/8/8/PPPPPPPP/QRNKNRBB w KQkq - 0 1,Stockfish 17.1,b3,0.92,429,570,1,10,17,100304,0.017,3
496,bbrqnknr/pppppppp/8/8/8/8/PPPPPPPP/BBRQNKNR w KQkq - 0 1,Stockfish 17.1,c4,0.3,76,914,10,10,17,101346,0.019,4
497,brqbnknr/pppppppp/8/8/8/8/PPPPPPPP/BRQBNKNR w KQkq - 0 1,Stockfish 17.1,b4,0.23,61,927,12,11,19,100655,0.019,6
498,brqnkbnr/pppppppp/8/8/8/8/PPPPPPPP/BRQNKBNR w KQkq - 0 1,Stockfish 17.1,b4,0.04,32,944,24,10,20,100547,0.018,5
499,brqnknrb/pppppppp/8/8/8/8/PPPPPPPP/BRQNKNRB w KQkq - 0 1,Stockfish 17.1,b4,0.2,56,930,14,11,16,101021,0.02,3
500,rbbqnknr/pppppppp/8/8/8/8/PPPPPPPP/RBBQNKNR w KQkq - 0 1,Stockfish 17.1,Ngf3,0.28,72,918,10,12,15,100316,0.018,6
501,rqbbnknr/pppppppp/8/8/8/8/PPPPPPPP/RQBBNKNR w KQkq - 0 1,Stockfish 17.1,d4,0.27,70,919,11,11,21,100394,0.019,5
502,rqbnkbnr/pppppppp/8/8/8/8/PPPPPPPP/RQBNKBNR w KQkq - 0 1,Stockfish 17.1,e4,0.41,108,885,7,11,21,100146,0.017,5
503,rqbnknrb/pppppppp/8/8/8/8/PPPPPPPP/RQBNKNRB w KQkq - 0 1,Stockfish 17.1,c3,0.46,128,866,6,12,20,100708,0.017,5
504,rbqnbknr/pppppppp/8/8/8/8/PPPPPPPP/RBQNBKNR w KQkq - 0 1,Stockfish 17.1,d4,0.66,227,770,3,12,18,100101,0.018,5
505,rqnbbknr/pppppppp/8/8/8/8/PPPPPPPP/RQNBBKNR w KQkq - 0 1,Stockfish 17.1,e4,0.18,51,934,15,11,18,101271,0.018,6
506,rqnkbbnr/pppppppp/8/8/8/8/PPPPPPPP/RQNKBBNR w KQkq - 0 1,Stockfish 17.1,d4,0.31,80,911,9,12,15,100205,0.018,5
507,rqnkbnrb/pppppppp/8/8/8/8/PPPPPPPP/RQNKBNRB w KQkq - 0 1,Stockfish 17.1,g4,0.31,80,911,9,10,16,100674,0.017,4
508,rbqnknbr/pppppppp/8/8/8/8/PPPPPPPP/RBQNKNBR w KQkq - 0 1,Stockfish 17.1,d4,0.23,61,927,12,10,20,100314,0.017,4
509,rqnbknbr/pppppppp/8/8/8/8/PPPPPPPP/RQNBKNBR w KQkq - 0 1,Stockfish 17.1,d4,0.24,64,924,12,12,18,100122,0.016,5
510,rqnknbbr/pppppppp/8/8/8/8/PPPPPPPP/RQNKNBBR w KQkq - 0 1,Stockfish 17.1,f4,0.15,46,937,17,11,20,101460,0.016,5
511,rqnknrbb/pppppppp/8/8/8/8/PPPPPPPP/RQNKNRBB w KQkq - 0 1,Stockfish 17.1,g4,0.2,55,931,14,9,13,100440,0.017,4
512,bbrnqknr/pppppppp/8/8/8/8/PPPPPPPP/BBRNQKNR w KQkq - 0 1,Stockfish 17.1,b4,0.17,50,935,15,11,16,100521,0.018,4
513,brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w KQkq - 0 1,Stockfish 17.1,b4,0.16,48,936,16,10,16,100550,0.018,7
514,brnqkbnr/pppppppp/8/8/8/8/PPPPPPPP/BRNQKBNR w KQkq - 0 1,Stockfish 17.1,b4,0.15,47,937,16,12,18,100083,0.018,4
515,brnqknrb/pppppppp/8/8/8/8/PPPPPPPP/BRNQKNRB w KQkq - 0 1,Stockfish 17.1,g3,0.18,51,934,15,11,17,100329,0.02,6
516,rbbnqknr/pppppppp/8/8/8/8/PPPPPPPP/RBBNQKNR w KQkq - 0 1,Stockfish 17.1,e4,0.4,107,886,7,11,18,100643,0.021,10
517,rnbbqknr/pppppppp/8/8/8/8/PPPPPPPP/RNBBQKNR w KQkq - 0 1,Stockfish 17.1,e4,0.36,93,899,8,13,21,101255,0.016,6
518,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,Stockfish 17.1,e4,0.41,110,883,7,11,18,101159,0.018,6
519,rnbqknrb/pppppppp/8/8/8/8/PPPPPPPP/RNBQKNRB w KQkq - 0 1,Stockfish 17.1,d4,0.79,322,676,2,11,20,100758,0.016,5
520,rbnqbknr/pppppppp/8/8/8/8/PPPPPPPP/RBNQBKNR w KQkq - 0 1,Stockfish 17.1,c4,0.2,56,930,14,11,15,100025,0.018,3
521,rnqbbknr/pppppppp/8/8/8/8/PPPPPPPP/RNQBBKNR w KQkq - 0 1,Stockfish 17.1,d4,0.29,73,917,10,12,20,100027,0.019,7
522,rnqkbbnr/pppppppp/8/8/8/8/PPPPPPPP/RNQKBBNR w KQkq - 0 1,Stockfish 17.1,d4,0.32,83,908,9,10,20,100775,0.018,6
523,rnqkbnrb/pppppppp/8/8/8/8/PPPPPPPP/RNQKBNRB w KQkq - 0 1,Stockfish 17.1,d3,0.27,71,918,11,11,19,100017,0.019,6
524,rbnqknbr/pppppppp/8/8/8/8/PPPPPPPP/RBNQKNBR w KQkq - 0 1,Stockfish 17.1,f3,0.28,71,918,11,12,21,100567,0.014,6
525,rnqbknbr/pppppppp/8/8/8/8/PPPPPPPP/RNQBKNBR w KQkq - 0 1,Stockfish 17.1,d4,0.34,88,904,8,10,16,101993,0.02,7
526,rnqknbbr/pppppppp/8/8/8/8/PPPPPPPP/RNQKNBBR w KQkq - 0 1,Stockfish 17.1,d4,0.71,262,736,2,13,20,100017,0.018,5
527,rnqknrbb/pppppppp/8/8/8/8/PPPPPPPP/RNQKNRBB w KQkq - 0 1,Stockfish 17.1,c4,0.31,79,912,9,14,23,100892,0.013,4
528,bbrnkqnr/pppppppp/8/8/8/8/PPPPPPPP/BBRNKQNR w KQkq - 0 1,Stockfish 17.1,e4,0.16,47,937,16,11,15,101812,0.018,5
529,brnbkqnr/pppppppp/8/8/8/8/PPPPPPPP/BRNBKQNR w KQkq - 0 1,Stockfish 17.1,e3,0.24,62,926,12,12,17,100073,0.019,7
530,brnkqbnr/pppppppp/8/8/8/8/PPPPPPPP/BRNKQBNR w KQkq - 0 1,Stockfish 17.1,e4,0.53,158,838,4,11,19,100823,0.017,6
531,brnkqnrb/pppppppp/8/8/8/8/PPPPPPPP/BRNKQNRB w KQkq - 0 1,Stockfish 17.1,b3,0.27,69,920,11,11,20,100895,0.019,3
532,rbbnkqnr/pppppppp/8/8/8/8/PPPPPPPP/RBBNKQNR w KQkq - 0 1,Stockfish 17.1,e4,0.32,82,909,9,10,17,100352,0.018,5
533,rnbbkqnr/pppppppp/8/8/8/8/PPPPPPPP/RNBBKQNR w KQkq - 0 1,Stockfish 17.1,e4,0.29,73,917,10,11,20,100059,0.018,6
534,rnbkqbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,Stockfish 17.1,d4,0.45,125,869,6,13,19,100635,0.018,5
535,rnbkqnrb/pppppppp/8/8/8/8/PPPPPPPP/RNBKQNRB w KQkq - 0 1,Stockfish 17.1,f4,0.18,52,933,15,12,22,100606,0.018,5
536,rbnkbqnr/pppppppp/8/8/8/8/PPPPPPPP/RBNKBQNR w KQkq - 0 1,Stockfish 17.1,e4,0.35,91,901,8,11,19,100455,0.019,5
537,rnkbbqnr/pppppppp/8/8/8/8/PPPPPPPP/RNKBBQNR w KQkq - 0 1,Stockfish 17.1,e4,0.4,106,887,7,11,17,100577,0.017,6
538,rnkqbbnr/pppppppp/8/8/8/8/PPPPPPPP/RNKQBBNR w KQkq - 0 1,Stockfish 17.1,e4,0.4,105,888,7,12,14,100420,0.016,4
539,rnkqbnrb/pppppppp/8/8/8/8/PPPPPPPP/RNKQBNRB w KQkq - 0 1,Stockfish 17.1,e4,0.35,89,903,8,11,19,100364,0.016,5
540,rbnkqnbr/pppppppp/8/8/8/8/PPPPPPPP/RBNKQNBR w KQkq - 0 1,Stockfish 17.1,d4,0.43,115,879,6,11,19,100027,0.014,4
541,rnkbqnbr/pppppppp/8/8/8/8/PPPPPPPP/RNKBQNBR w KQkq - 0 1,Stockfish 17.1,d4,0.4,105,888,7,11,17,100600,0.016,5
542,rnkqnbbr/pppppppp/8/8/8/8/PPPPPPPP/RNKQNBBR w KQkq - 0 1,Stockfish 17.1,d4,0.32,81,910,9,10,17,100070,0.017,5
543,rnkqnrbb/pppppppp/8/8/8/8/PPPPPPPP/RNKQNRBB w KQkq - 0 1,Stockfish 17.1,f4,0.37,96,896,8,10,19,101991,0.016,5
544,bbrnknqr/pppppppp/8/8/8/8/PPPPPPPP/BBRNKNQR w KQkq - 0 1,Stockfish 17.1,b4,0.27,69,920,11,11,18,100106,0.017,4
545,brnbknqr/pppppppp/8/8/8/8/PPPPPPPP/BRNBKNQR w KQkq - 0 1,Stockfish 17.1,f3,0.29,75,915,10,11,22,100518,0.017,7
546,brnknbqr/pppppppp/8/8/8/8/PPPPPPPP/BRNKNBQR w KQkq - 0 1,Stockfish 17.1,f3,0.36,95,897,8,13,22,100628,0.017,4
547,brnknqrb/pppppppp/8/8/8/8/PPPPPPPP/BRNKNQRB w KQkq - 0 1,Stockfish 17.1,g4,0.22,60,927,13,11,20,101321,0.018,6
548,rbbnknqr/pppppppp/8/8/8/8/PPPPPPPP/RBBNKNQR w KQkq - 0 1,Stockfish 17.1,d4,0.1,40,941,19,12,16,100199,0.015,10
549,rnbbknqr/pppppppp/8/8/8/8/PPPPPPPP/RNBBKNQR w KQkq - 0 1,Stockfish 17.1,e4,0.5,147,848,5,12,17,100513,0.02,6
550,rnbknbqr/pppppppp/8/8/8/8/PPPPPPPP/RNBKNBQR w KQkq - 0 1,Stockfish 17.1,d4,0.6,193,804,3,12,17,101406,0.018,7
551,rnbknqrb/pppppppp/8/8/8/8/PPPPPPPP/RNBKNQRB w KQkq - 0 1,Stockfish 17.1,g4,0.21,56,930,14,11,18,100027,0.017,5
552,rbnkbnqr/pppppppp/8/8/8/8/PPPPPPPP/RBNKBNQR w KQkq - 0 1,Stockfish 17.1,d4,0.25,65,923,12,12,23,100241,0.014,3
553,rnkbbnqr/pppppppp/8/8/8/8/PPPPPPPP/RNKBBNQR w KQkq - 0 1,Stockfish 17.1,e4,0.36,93,899,8,11,16,100083,0.016,7
554,rnknbbqr/pppppppp/8/8/8/8/PPPPPPPP/RNKNBBQR w KQkq - 0 1,Stockfish 17.1,d4,0.38,99,894,7,10,12,100946,0.017,5
555,rnknbqrb/pppppppp/8/8/8/8/PPPPPPPP/RNKNBQRB w KQkq - 0 1,Stockfish 17.1,g4,0.3,76,914,10,12,16,100041,0.018,6
556,rbnknqbr/pppppppp/8/8/8/8/PPPPPPPP/RBNKNQBR w KQkq - 0 1,Stockfish 17.1,e4,0.42,113,881,6,14,17,101186,0.016,7
557,rnkbnqbr/pppppppp/8/8/8/8/PPPPPPPP/RNKBNQBR w KQkq - 0 1,Stockfish 17.1,e4,0.59,187,809,4,10,18,101078,0.017,7
558,rnknqbbr/pppppppp/8/8/8/8/PPPPPPPP/RNKNQBBR w KQkq - 0 1,Stockfish 17.1,d4,0.22,60,927,13,12,16,100312,0.016,5
559,rnknqrbb/pppppppp/8/8/8/8/PPPPPPPP/RNKNQRBB w KQkq - 0 1,Stockfish 17.1,f4,0.35,91,901,8,12,17,100129,0.018,4
560,bbrnknrq/pppppppp/8/8/8/8/PPPPPPPP/BBRNKNRQ w KQkq - 0 1,Stockfish 17.1,g4,0.38,98,895,7,11,17,100146,0.017,5
561,brnbknrq/pppppppp/8/8/8/8/PPPPPPPP/BRNBKNRQ w KQkq - 0 1,Stockfish 17.1,e3,0.32,82,909,9,11,17,100245,0.017,7
562,brnknbrq/pppppppp/8/8/8/8/PPPPPPPP/BRNKNBRQ w KQkq - 0 1,Stockfish 17.1,g4,0.2,56,930,14,10,20,100540,0.019,6
563,brnknrqb/pppppppp/8/8/8/8/PPPPPPPP/BRNKNRQB w KQkq - 0 1,Stockfish 17.1,f4,0.15,47,937,16,12,17,100610,0.017,4
564,rbbnknrq/pppppppp/8/8/8/8/PPPPPPPP/RBBNKNRQ w KQkq - 0 1,Stockfish 17.1,d4,0.39,104,889,7,11,17,100954,0.015,6
565,rnbbknrq/pppppppp/8/8/8/8/PPPPPPPP/RNBBKNRQ w KQkq - 0 1,Stockfish 17.1,c3,0.43,116,878,6,11,22,100347,0.018,7
566,rnbknbrq/pppppppp/8/8/8/8/PPPPPPPP/RNBKNBRQ w KQkq - 0 1,Stockfish 17.1,g4,0.38,100,893,7,12,17,101532,0.019,5
567,rnbknrqb/pppppppp/8/8/8/8/PPPPPPPP/RNBKNRQB w KQkq - 0 1,Stockfish 17.1,g4,0.25,66,923,11,11,19,100384,0.018,6
568,rbnkbnrq/pppppppp/8/8/8/8/PPPPPPPP/RBNKBNRQ w KQkq - 0 1,Stockfish 17.1,c3,0.28,72,918,10,12,21,101006,0.017,6
569,rnkbbnrq/pppppppp/8/8/8/8/PPPPPPPP/RNKBBNRQ w KQkq - 0 1,Stockfish 17.1,d4,0.29,74,916,10,10,16,100248,0.018,6
570,rnknbbrq/pppppppp/8/8/8/8/PPPPPPPP/RNKNBBRQ w KQkq - 0 1,Stockfish 17.1,d4,0.25,64,924,12,10,18,100248,0.018,5
571,rnknbrqb/pppppppp/8/8/8/8/PPPPPPPP/RNKNBRQB w KQkq - 0 1,Stockfish 17.1,g4,0.14,45,938,17,12,17,100108,0.016,6
572,rbnknrbq/pppppppp/8/8/8/8/PPPPPPPP/RBNKNRBQ w KQkq - 0 1,Stockfish 17.1,g4,0.27,70,919,11,12,18,101361,0.018,4
573,rnkbnrbq/pppppppp/8/8/8/8/PPPPPPPP/RNKBNRBQ w KQkq - 0 1,Stockfish 17.1,e4,0.25,66,923,11,10,16,100138,0.016,6
574,rnknrbbq/pppppppp/8/8/8/8/PPPPPPPP/RNKNRBBQ w KQkq - 0 1,Stockfish 17.1,e4,0.3,77,913,10,10,21,100144,0.018,5
575,rnknrqbb/pppppppp/8/8/8/8/PPPPPPPP/RNKNRQBB w KQkq - 0 1,Stockfish 17.1,e4,0.44,120,874,6,11,22,100281,0.018,6
576,bbqrnkrn/pppppppp/8/8/8/8/PPPPPPPP/BBQRNKRN w KQkq - 0 1,Stockfish 17.1,c4,0.15,47,937,16,11,22,100907,0.015,5
577,bqrbnkrn/pppppppp/8/8/8/8/PPPPPPPP/BQRBNKRN w KQkq - 0 1,Stockfish 17.1,c4,0.2,56,930,14,10,14,100690,0.018,7
578,bqrnkbrn/pppppppp/8/8/8/8/PPPPPPPP/BQRNKBRN w KQkq - 0 1,Stockfish 17.1,c4,0.65,224,773,3,11,17,100247,0.018,4
579,bqrnkrnb/pppppppp/8/8/8/8/PPPPPPPP/BQRNKRNB w KQkq - 0 1,Stockfish 17.1,g4,0.18,51,934,15,11,18,100506,0.017,6
580,qbbrnkrn/pppppppp/8/8/8/8/PPPPPPPP/QBBRNKRN w KQkq - 0 1,Stockfish 17.1,O-O,0.33,85,906,9,12,19,100172,0.018,10
581,qrbbnkrn/pppppppp/8/8/8/8/PPPPPPPP/QRBBNKRN w KQkq - 0 1,Stockfish 17.1,c4,0.19,54,932,14,11,19,100883,0.018,7
582,qrbnkbrn/pppppppp/8/8/8/8/PPPPPPPP/QRBNKBRN w KQkq - 0 1,Stockfish 17.1,Ng3,0.72,271,727,2,11,15,100494,0.02,7
583,qrbnkrnb/pppppppp/8/8/8/8/PPPPPPPP/QRBNKRNB w KQkq - 0 1,Stockfish 17.1,b4,0.26,68,921,11,11,19,100477,0.019,5
584,qbrnbkrn/pppppppp/8/8/8/8/PPPPPPPP/QBRNBKRN w KQkq - 0 1,Stockfish 17.1,c4,0.17,50,935,15,11,21,100141,0.019,3
585,qrnbbkrn/pppppppp/8/8/8/8/PPPPPPPP/QRNBBKRN w KQkq - 0 1,Stockfish 17.1,c4,0.27,69,920,11,11,20,100908,0.017,7
586,qrnkbbrn/pppppppp/8/8/8/8/PPPPPPPP/QRNKBBRN w KQkq - 0 1,Stockfish 17.1,e4,0.4,107,886,7,10,18,100338,0.018,5
587,qrnkbrnb/pppppppp/8/8/8/8/PPPPPPPP/QRNKBRNB w KQkq - 0 1,Stockfish 17.1,g4,0.26,66,923,11,10,17,100653,0.02,8
588,qbrnkrbn/pppppppp/8/8/8/8/PPPPPPPP/QBRNKRBN w KQkq - 0 1,Stockfish 17.1,Ng3,0.32,82,909,9,10,13,100460,0.017,7
589,qrnbkrbn/pppppppp/8/8/8/8/PPPPPPPP/QRNBKRBN w KQkq - 0 1,Stockfish 17.1,f4,0.68,246,751,3,12,17,100489,0.017,7
590,qrnkrbbn/pppppppp/8/8/8/8/PPPPPPPP/QRNKRBBN w KQkq - 0 1,Stockfish 17.1,f4,0.09,38,941,21,10,18,100478,0.016,5
591,qrnkrnbb/pppppppp/8/8/8/8/PPPPPPPP/QRNKRNBB w KQkq - 0 1,Stockfish 17.1,g4,0.29,75,915,10,10,12,100232,0.019,4
592,bbrqnkrn/pppppppp/8/8/8/8/PPPPPPPP/BBRQNKRN w KQkq - 0 1,Stockfish 17.1,c4,0.1,39,941,20,14,21,100311,0.016,4
593,brqbnkrn/pppppppp/8/8/8/8/PPPPPPPP/BRQBNKRN w KQkq - 0 1,Stockfish 17.1,b4,0.12,43,939,18,12,17,101066,0.018,7
594,brqnkbrn/pppppppp/8/8/8/8/PPPPPPPP/BRQNKBRN w KQkq - 0 1,Stockfish 17.1,c4,0.42,113,881,6,11,19,100203,0.018,6
595,brqnkrnb/pppppppp/8/8/8/8/PPPPPPPP/BRQNKRNB w KQkq - 0 1,Stockfish 17.1,b4,0.07,35,943,22,10,17,101225,0.018,5
596,rbbqnkrn/pppppppp/8/8/8/8/PPPPPPPP/RBBQNKRN w KQkq - 0 1,Stockfish 17.1,c4,0.26,68,921,11,12,18,100457,0.017,7
597,rqbbnkrn/pppppppp/8/8/8/8/PPPPPPPP/RQBBNKRN w KQkq - 0 1,Stockfish 17.1,c4,0.31,78,912,10,13,23,101004,0.018,7
598,rqbnkbrn/pppppppp/8/8/8/8/PPPPPPPP/RQBNKBRN w KQkq - 0 1,Stockfish 17.1,e3,0.38,100,893,7,10,18,100527,0.019,6
599,rqbnkrnb/pppppppp/8/8/8/8/PPPPPPPP/RQBNKRNB w KQkq - 0 1,Stockfish 17.1,e4,0.25,65,923,12,10,14,100181,0.018,6
600,rbqnbkrn/pppppppp/8/8/8/8/PPPPPPPP/RBQNBKRN w KQkq - 0 1,Stockfish 17.1,c4,0.21,56,930,14,12,19,101060,0.018,6
601,rqnbbkrn/pppppppp/8/8/8/8/PPPPPPPP/RQNBBKRN w KQkq - 0 1,Stockfish 17.1,c4,0.26,67,922,11,11,19,100027,0.019,6
602,rqnkbbrn/pppppppp/8/8/8/8/PPPPPPPP/RQNKBBRN w KQkq - 0 1,Stockfish 17.1,c4,0.53,159,837,4,12,16,100463,0.019,5
603,rqnkbrnb/pppppppp/8/8/8/8/PPPPPPPP/RQNKBRNB w KQkq - 0 1,Stockfish 17.1,f4,0.22,59,928,13,10,17,100795,0.021,6
604,rbqnkrbn/pppppppp/8/8/8/8/PPPPPPPP/RBQNKRBN w KQkq - 0 1,Stockfish 17.1,f4,0.52,155,841,4,11,15,100273,0.018,5
605,rqnbkrbn/pppppppp/8/8/8/8/PPPPPPPP/RQNBKRBN w KQkq - 0 1,Stockfish 17.1,f4,0.4,105,888,7,10,15,100228,0.019,7
606,rqnkrbbn/pppppppp/8/8/8/8/PPPPPPPP/RQNKRBBN w KQkq - 0 1,Stockfish 17.1,c4,0.19,53,933,14,11,17,100654,0.014,5
607,rqnkrnbb/pppppppp/8/8/8/8/PPPPPPPP/RQNKRNBB w KQkq - 0 1,Stockfish 17.1,e4,0.21,57,930,13,12,22,100583,0.017,6
608,bbrnqkrn/pppppppp/8/8/8/8/PPPPPPPP/BBRNQKRN w KQkq - 0 1,Stockfish 17.1,c4,0.32,82,909,9,10,18,100078,0.018,5
609,brnbqkrn/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKRN w KQkq - 0 1,Stockfish 17.1,O-O,0.37,95,897,8,11,21,100818,0.016,7
610,brnqkbrn/pppppppp/8/8/8/8/PPPPPPPP/BRNQKBRN w KQkq - 0 1,Stockfish 17.1,e3,0.38,99,894,7,10,21,100261,0.016,4
611,brnqkrnb/pppppppp/8/8/8/8/PPPPPPPP/BRNQKRNB w KQkq - 0 1,Stockfish 17.1,g3,0.39,103,890,7,12,19,101037,0.019,7
612,rbbnqkrn/pppppppp/8/8/8/8/PPPPPPPP/RBBNQKRN w KQkq - 0 1,Stockfish 17.1,O-O,0.32,82,909,9,11,13,101577,0.017,10
613,rnbbqkrn/pppppppp/8/8/8/8/PPPPPPPP/RNBBQKRN w KQkq - 0 1,Stockfish 17.1,O-O,0.26,68,921,11,11,17,100337,0.018,7
614,rnbqkbrn/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBRN w KQkq - 0 1,Stockfish 17.1,d4,0.33,84,907,9,12,20,100636,0.019,7
615,rnbqkrnb/pppppppp/8/8/8/8/PPPPPPPP/RNBQKRNB w KQkq - 0 1,Stockfish 17.1,Nf3,0.16,49,935,16,12,21,100561,0.018,6
616,rbnqbkrn/pppppppp/8/8/8/8/PPPPPPPP/RBNQBKRN w KQkq - 0 1,Stockfish 17.1,c4,0.35,89,903,8,10,21,100529,0.018,3
617,rnqbbkrn/pppppppp/8/8/8/8/PPPPPPPP/RNQBBKRN w KQkq - 0 1,Stockfish 17.1,d4,0.52,154,842,4,12,18,100023,0.017,8
618,rnqkbbrn/pppppppp/8/8/8/8/PPPPPPPP/RNQKBBRN w KQkq - 0 1,Stockfish 17.1,d4,0.54,163,833,4,10,18,101306,0.02,6
619,rnqkbrnb/pppppppp/8/8/8/8/PPPPPPPP/RNQKBRNB w KQkq - 0 1,Stockfish 17.1,d3,0.07,35,943,22,11,13,101128,0.018,9
620,rbnqkrbn/pppppppp/8/8/8/8/PPPPPPPP/RBNQKRBN w KQkq - 0 1,Stockfish 17.1,f4,0.46,128,866,6,12,16,100247,0.018,7
621,rnqbkrbn/pppppppp/8/8/8/8/PPPPPPPP/RNQBKRBN w KQkq - 0 1,Stockfish 17.1,f4,0.52,153,842,5,11,18,100353,0.019,7
622,rnqkrbbn/pppppppp/8/8/8/8/PPPPPPPP/RNQKRBBN w KQkq - 0 1,Stockfish 17.1,d4,0.79,320,678,2,11,19,100043,0.016,5
623,rnqkrnbb/pppppppp/8/8/8/8/PPPPPPPP/RNQKRNBB w KQkq - 0 1,Stockfish 17.1,f4,0.49,140,855,5,11,17,101649,0.017,5
624,bbrnkqrn/pppppppp/8/8/8/8/PPPPPPPP/BBRNKQRN w KQkq - 0 1,Stockfish 17.1,c4,0.62,203,794,3,11,16,100711,0.016,4
